server_name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
SocArXiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,520,691,1456,2075,2556,2125,2109,2065,2730
Social Science Open Access Repository,148,195,174,235,321,538,463,496,437,474,529,528,615,673,866,993,1352,1071,1572,1125,1143,963,1323,1146,1039,1083,1068,1305,1296,1273,1344,748,124,49,44,155
SportRxiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,93,124,108,108,104,106,142
TechRxiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,870,1674,2308,3081,3140,5077
Therapoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0
Thesis Commons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,244,301,605,492,598,314,291,243
UCL Open Environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,21,40,16,10,55
UnisaRxiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,21,11,39,24
VeriXiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,394
Wellcome Open Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,118,160,190,265,328,296,577,692,619
Zenodo,1,0,0,1,8,1,0,4,2,6,1,2,4,1,0,15,7,8,7,28,13,13,12,83,36,78,120,182,380,771,1045,1508,1797,1985,4376,55678
arXiv,26,350,3128,6563,9805,12653,15443,19125,23526,26993,29858,32323,35187,38488,42682,45788,49186,54486,57459,62611,68604,74972,82666,91048,95783,103211,111360,121616,137827,152978,174986,178158,182573,205359,237199,273894
bioRxiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,824,1711,4583,11157,20540,28865,38337,36481,35317,38721,42664,43491
eLife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,309,613,931,1128,1210,948,988,1092,801,557,406,207,202
engrXiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,102,234,406,621,577,417,446,558,1054
medRxiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894,13533,12393,10343,10842,12536,13359
prepare@u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27,100,27,20,27,1
searchRxiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,62,142,147,174
viXra,0,0,0,0,1,1,2,2,0,2,3,4,3,0,14,15,13,109,66,344,599,659,1061,1591,2098,2078,2349,2485,2747,2811,2198,1315,0,0,0,0
