server_name,server_name_rule_file,source_id,server_main_page_link,is_active_2026,scope_group,ownership_group,submission_group,researcher_can_submit,is_preprint_only,platform_model,review_type_group,versioning_available,publication_status_tracking,can_identify_peer_reviewed_version,has_medical_warning,has_server_statistics,has_preprint_metrics,raw_disciplinary_scope,raw_ownership_type,raw_submission_text,raw_screening_processes,raw_external_content_indexing,raw_permanence,raw_charges,raw_self_definition,raw_platform_model,raw_versioning,raw_publication_status,platform_type_group,screening_level,has_warning_label,has_non_peer_review_notice,indexed_google_scholar,indexed_crossref,indexed_europe_pmc,indexed_pubmed_pathway,indexing_group,permanence_group,charges_group
Cryptology ePrint Archive,IACR Cryptology ePrint Archive,IACR Cryptology ePrint Archive,https://eprint.iacr.org/,Yes,Other / unclear,Other / unclear,Researcher,Yes,Yes,Preprint only,None,Yes,Unknown,Unknown,Unknown,Unknown,No,,,Researcher,,,,,ePrint Archive,No,yes,,Repository,None / not described,Yes,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
RIN arxiv (formerly INArxiv),INA-Rxiv,INA-Rxiv,https://rinarxiv.pubpub.org/; https://osf.io/preprints/inarxiv/discover?tab=5,No,Multidisciplinary,Academic community group,Not active,Unknown,Yes,Preprint only,None,Unknown,Unknown,Unknown,No,Unknown,No,All scientific fields,Academic community group,Not Active,"Doc type, data availability","Google Scholar, Microsoft Academic",Permanent with some removal options in exceptional circumstances,,preprint server,No,,,Preprint server,Basic screening,No,No,Yes,No,No,No,Selectively indexed,Permanent with limited removal exceptions,Unknown
IndiaRxiv,IndiaRxiv,IndiaRxiv,https://ops.iihr.res.in/index.php/IndiaRxiv,Yes,Other / unclear,Other / unclear,Researcher,Yes,Yes,Preprint only,Other,Yes,Unknown,Unknown,No,Unknown,Yes,Multidisclipinary,Community,Researcher,"Content within scope, Manuscript is complete (methods, references), Data is available (if applicable) Code is available (if applicable), Text overlap detection (plagiarism detection), Misconduct or integrity checks (eg image duplication, statistics), All authors notified, Legal compliance, Ethical compliance, Originality, Potential for harm if posted",Google Scholar,Permanent with withdrawal option and some removal options in exceptional circumstances,,preprint server,No,yes,,Preprint server,Strong screening,No,No,Yes,No,No,No,Selectively indexed,Permanent with withdrawal marking,Unknown
JMIR Preprints,JMIR Preprints,JMIR Preprints,https://preprints.jmir.org/,Yes,Multidisciplinary,Publisher,Researcher,Yes,Yes,Preprint only,Open peer review,Unknown,Unknown,Unknown,Unknown,Unknown,No,Broad life & biomedical research,Publishing organisation (publisher),Researcher,,Unknown,Unknown,no,preprint server,No,,,Preprint server,None / not described,Yes,Yes,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
Keldysh Institute Preprints,Keldysh Institute Preprints,Keldysh Institute Preprints,https://library.keldysh.ru/preprints/default.asp?lg=e,Yes,Other / unclear,Other / unclear,Researcher,Yes,No,Hybrid / mixed,None,No,Unknown,Unknown,No,Unknown,Yes,,,Researcher,,,,,,"Unclear - Some peer review happens on preprints, but it could be just checks for preprint validity, yet they are followed by a peer review report",no,,Other / unclear,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
LatArXiv Preprints,LatArXiv,LatArXiv,https://preprints.latarxiv.org/index.php/latarxiv,Yes,Other / unclear,Other / unclear,Researcher,Yes,Yes,Preprint only,None,Yes,Unknown,Unknown,No,Unknown,Yes,,,Researchers + Journals,,,,,multidisciplinary platform,No,yes,,Other / unclear,None / not described,Yes,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
Law Archive  (formerly LawArXiv),Law Archive,Law Archive,https://osf.io/preprints/lawarxiv,No,Life sciences & biomedicine,Other / unclear,Not active,Unknown,Yes,Preprint only,None,Yes,No,Unknown,No,Unknown,Yes,"Relating to law, not including life or biomedical sciences",unknown,Not Active,"Akismet spam filtering (automatic on all OSF content), Content within scope","Google Scholar, SHARE, Microsoft Academic, Unpaywall",Permanent with withdrawal option and some removal options in exceptional circumstances,,preprint repository,No,yes,no,Repository,Basic screening,No,No,Yes,No,No,No,Selectively indexed,Permanent with withdrawal marking,Unknown
Law Archive Papers,Law Archive,,https://osf.io/preprints/lawarchive/discover,Yes,Other / unclear,Other / unclear,Researcher,Yes,No,Preprint only,None,Unknown,Unknown,Unknown,No,Unknown,No,,,Researcher,,,,,open archive,No,,,Repository,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
LIS Scholarship Archive,LIS Scholarship Archive,LIS Scholarship Archive,https://lissarchive.org/,No,Life sciences & biomedicine,Other / unclear,Not active,Unknown,No,Preprint only,None,Yes,No,Unknown,Unknown,Unknown,Yes,"Relating to library and information sciences, not including life or biomedical sciences",Individual or community,Not Active,"Misconduct or integrity checks, Akismet spam filtering (automatic on all OSF content), Content within scope","Google Scholar, SHARE, Microsoft Academic, Unpaywall",Permanent with withdrawal option and some removal options in exceptional circumstances,,open platform,No,yes,no,Other / unclear,Strong screening,No,No,Yes,No,No,No,Selectively indexed,Permanent with withdrawal marking,Unknown
LSE Research Online,LSE Research Online Documents on Economics,LSE Research Online Documents on Economics,https://eprints.lse.ac.uk/,Yes,Other / unclear,Other / unclear,Researcher (specific eligibility),Yes,No,Preprint only,None,No,Unknown,Unknown,Unknown,Unknown,Yes,,,Researcher (specific),,,,,institutional repository,No,no,,Repository,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
MarXiv (no longer receiving submissions),MarXiv,MarXiv,https://osf.io/preprints/marxiv,No,Life sciences & biomedicine,Other / unclear,Not active,Unknown,No,Preprint only,None,Yes,No,Unknown,Unknown,Unknown,Yes,"Relating to ocean and marine climate sciences, including life sciences, social and behavioural sciences",Ocean conservation nonprofit,Not Active,"We pretty much exclusively only get postprints or NGO reports, so we just make sure authors have the copyright clearance.","Google Scholar, SHARE, Microsoft Academic, Unpaywall, Altmetric, OpenChannels.org",Permanent with some removal options in exceptional circumstances,,,No,yes,no,Repository,Basic screening,No,No,Yes,No,No,No,Selectively indexed,Permanent with limited removal exceptions,Unknown
MediarXiv,MediArXiv,MediArXiv,https://osf.io/preprints/mediarxiv,Yes,Multidisciplinary,Other / unclear,Researcher,Yes,Yes,Preprint only,None,Yes,No,Unknown,Unknown,Unknown,Yes,All scientific fields,Individual or community,Researcher,"Akismet spam filtering (automatic on all OSF content) , Content within scope",,Permanent with withdrawal option and some removal options in exceptional circumstances,,open archive,No,yes,no,Repository,Basic screening,No,No,No,No,No,No,Minimal / unclear indexing,Permanent with withdrawal marking,Unknown
MedRxiv,medRxiv,medRxiv,https://www.medrxiv.org/,Yes,Multidisciplinary,Academic institution,Researcher,Yes,Yes,Preprint only,None,Yes,Yes,Unknown,Unknown,Unknown,Yes,"Broad medical, clinical and related health sciences. Subject categories listed under Scope at https://www.medrxiv.org/content/about-medrxiv",Academic institution,Researcher,"Content within scope , Text overlap detection (plagiarism detection), Legal compliance , Ethical compliance , Potential for harm if posted","Google Scholar, Microsoft Academic Search, Crossref, Europe PMC, PubMed (NIH-supported preprints only), Preprint Citation Index",Permanent with withdrawal options and (rare) removal in exceptional circumstances,,preprint server,No,yes,yes,Preprint server,Strong screening,Yes,Yes,Yes,Yes,Yes,Yes,Broadly indexed,Permanent with withdrawal marking,Unknown
MetaArXiv,MetaArXiv,MetaArXiv,https://osf.io/preprints/metaarxiv/,Yes,Other / unclear,Academic institution,Researcher,Yes,Yes,Preprint only,Public/community review,Yes,No,Unknown,Unknown,Unknown,Yes,Relating to meta-science,Academic institution,Researcher,"Akismet spam filtering (automatic on all OSF content), Content within scope","Google Scholar, SHARE, Microsoft Academic, Unpaywall",Permanent with withdrawal option and some removal options in exceptional circumstances,,interdisciplinary archive,No,yes,no,Repository,Basic screening,No,No,Yes,No,No,No,Selectively indexed,Permanent with withdrawal marking,Unknown
MindRxiv,MindRxiv,MindRxiv,https://osf.io/preprints/mindrxiv/,No,Life sciences & biomedicine,Academic institution,Not active,Unknown,No,Preprint only,None,Yes,Unknown,Unknown,Unknown,Unknown,Yes,"Relating to mind and contemplative practices, including medicine and health sciences, neuroscience and neurobiology, psychology, social and behavioural sciences",Academic institution,Not Active,"Akismet spam filtering (automatic on all OSF content), Content within scope","Google Scholar, SHARE, Microsoft Academic, Unpaywall",Permanent with withdrawal option and some removal options in exceptional circumstances,,open archive,No,yes,,Repository,Basic screening,No,No,Yes,No,No,No,Selectively indexed,Permanent with withdrawal marking,Unknown
MNI Open Research,MNI Open Research,MNI Open Research,https://mniopenresearch.org/,No,Other / unclear,Academic institution,Not active,Unknown,Yes,Hybrid / mixed,Open peer review,Yes,Unknown,Unknown,Unknown,Unknown,Yes,"Subject-specific, including brain imaging, cellular and molecular neuroscience, cognitive neuroscience, neurological diseases/disorders",Academic institution,Not Active,"Data is available (if applicable), Code is available (if applicable), All authors notified, One author affiliated with MNI, Text overlap detection, Legal compliance, Ethical compliance","Google Scholar, Prepubmed, Europe PMC, SciLit",Permanent with some removal options in exceptional circumstances,yes,research platform,Yes,yes,,Other / unclear,Strong screening,No,No,Yes,No,Yes,Yes,Broadly indexed,Permanent with limited removal exceptions,Unknown
Munich Personal RePEc Archive,Munich Personal RePEc Archive (Ludwig Maximilian University of Munich),Munich Personal RePEc Archive,https://mpra.ub.uni-muenchen.de/,Yes,Other / unclear,Other / unclear,Researcher,Yes,No,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Unknown,No,,,Researcher,,,,,repository,No,,,Repository,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
National Bureau of Economic Research,National Bureau of Economic Research,National Bureau of Economic Research,https://www.nber.org/papers?page=1&perPage=50&sortBy=public_date,Yes,Other / unclear,Other / unclear,Researcher (specific eligibility),Yes,Yes,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Unknown,No,,,Researcher (specific),,,,,website,No,,,Other / unclear,None / not described,Yes,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
Nature Precedings,Nature Precedings,Nature Precedings,https://www.nature.com/npre,No,Other / unclear,Other / unclear,Not active,Unknown,Yes,Preprint only,None,No,Unknown,Unknown,No,Unknown,Yes,,,Not Active,,,,,preprint server,No,no,,Preprint server,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
NewAddictionsX,NewAddictionsX,NewAddictionsX,https://osf.io/preprints/newaddictionsx,No,Other / unclear,Other / unclear,Researcher,Yes,Yes,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Unknown,No,,,Researcher,,,,,preprint service,No,,,Other / unclear,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
NutriXiv,NutriXiv,NutriXiv,https://osf.io/preprints/nutrixiv,No,Other / unclear,Academic institution,Not active,Unknown,No,Preprint only,None,Yes,Unknown,Unknown,No,Unknown,Yes,Relating to nutritional sciences,Academic Institution,Not Active,"Akismet spam filtering (automatic on all OSF content), Content within scope","Google Scholar, SHARE, Microsoft Academic, Unpaywall",Permanent with withdrawal option and some removal options in exceptional circumstances,,,No,yes,,Other / unclear,Basic screening,No,No,Yes,No,No,No,Selectively indexed,Permanent with withdrawal marking,Unknown
Open Research Africa (formerly AAS Open Research),Open Research Africa,Open Research Africa,https://openresearchafrica.org/,Yes,Multidisciplinary,Funder,Researcher (specific eligibility),Yes,Yes,Hybrid / mixed,Open peer review,Yes,Yes,Unknown,No,Unknown,Yes,"Multiple scientific fields, including health and wellbeing*",Funding organisation (funder),Researcher (specific),"Data is available (if applicable), Code is available (if applicable), All authors notified, One author affiliated with AAS, Legal compliance, Ethical compliance","Google Scholar, Prepubmed, Europe PMC, SciLit",Permanent with some removal options in exceptional circumstances,,publishing paltform,Yes,yes,yes,Preprint server,Strong screening,No,No,Yes,No,Yes,Yes,Broadly indexed,Permanent with limited removal exceptions,Unknown
Open Research Europe,Open Research Europe,Open Research Europe,https://open-research-europe.ec.europa.eu/,Yes,Other / unclear,Other / unclear,Researcher,Yes,No,Hybrid / mixed,Open peer review,Yes,Unknown,Unknown,Unknown,Unknown,Yes,,,Researcher,,,,,publishing venue,Yes,yes,,Publishing venue / platform,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
OSF Preprints,Open Science Framework,Open Science Framework,https://osf.io/preprints/,No,Multidisciplinary,Other / unclear,Not active,Unknown,Yes,Preprint only,None,Yes,Unknown,Unknown,No,Unknown,Yes,All scientific fields,Charity,Not Active,"Akismet spam filtering (automatic on all OSF content), No moderation","Google Scholar, SHARE, Microsoft Academic, Unpaywall",Permanent with withdrawal option and some removal options in exceptional circumstances,,preprint server,No,yes,,Preprint server,Basic screening,Yes,Yes,Yes,No,No,No,Selectively indexed,Permanent with withdrawal marking,Unknown
Organic Eprints,"Organic Eprints (International Centre for Research in Organic Food Systems, and Research Institute of Organic Agriculture)",Organic Eprints,https://www.organicresearchcentre.com/resources/resource-library/organic-e-prints/,Yes,Other / unclear,Other / unclear,Researcher,Yes,Yes,Preprint only,None,No,Unknown,Unknown,No,Unknown,Yes,,,Researcher,,,,,open archive,No,no,,Repository,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
PaleorXiv,PaleorXiv,PaleorXiv,https://osf.io/preprints/paleorxiv/,Yes,Life sciences & biomedicine,Academic community group,Researcher,Yes,Yes,Preprint only,None,Yes,Unknown,Unknown,No,Unknown,Yes,Relating to paleontology and paleobiology,Academic community group,Researcher,"Content within scope, Text overlap detection, Akismet spam filtering (automatic on all OSF content),","Google Scholar, SHARE, Microsoft Academic, Unpaywall",Permanent with withdrawal option and some removal options in exceptional circumstances,,preprint archive,No,yes,,Repository,Moderate screening,Yes,No,Yes,No,No,No,Selectively indexed,Permanent with withdrawal marking,Unknown
PeerJ Preprints (no longer recieving submissions),PeerJ Preprints,PeerJ Preprints,https://peerj.com/preprints/,No,Life sciences & biomedicine,Publisher,Not active,Unknown,Yes,Preprint only,None,No,Yes,Unknown,No,Unknown,No,"Biological, medical and environmental sciences, matching scope to PeerJ journal (excludes Clinical Trials, diagnostic, therapeutic or health implications)",Publishing organisation (publisher),Not Active,"Misconduct or integrity checks, Legal compliance, Ethical compliance","Google Scholar, Europe PMC",Permanent with some removal options in exceptional circumstances,,,No,no,yes,Repository,Strong screening,Yes,Yes,Yes,No,Yes,No,Selectively indexed,Permanent with limited removal exceptions,Unknown
PhilArchive,PhilArchive,PhilSci-Archive,https://philarchive.org/,Yes,Other / unclear,Other / unclear,Researcher,Yes,No,Preprint only,None,Yes,Unknown,Unknown,No,Unknown,Yes,,,Researcher,,,,,e-print archive,No,yes,,E-print archive,None / not described,Yes,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
PMSE Preprints,PMSE Preprints,PMSE Preprints,https://pmsedivision.org/pmse-preprints/ and https://www.proceedings.com/pmse-division-of-acs/,No,Other / unclear,Other / unclear,Not active,Unknown,Yes,Preprint only,None,Unknown,Unknown,Unknown,No,Unknown,No,,,Not Active,,,,,website,No,,,Other / unclear,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
PoolText,PoolText,PoolText,https://content.pooltext.com/,No,Other / unclear,Other / unclear,Not active,Unknown,Yes,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Unknown,No,,,Not Active,,,,,preprint database,No,,,Other / unclear,None / not described,Yes,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
PREPARE@U,prepare@u,prepare@u,https://preprint.prepare.org.in/index.php/preprint/about/submissions?,No,Other / unclear,Other / unclear,Not active,Unknown,Yes,Preprint only,Other,No,No,No,No,Unknown,No,,,Not Active,,,,,,No,no,no,Repository,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
